"filename", "language", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\All.js", "JavaScript", -12, 0, 0, 0, 0, -12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.js", "JavaScript", 112, 0, 0, 0, 11, 123
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\ClientApplication.js", "JavaScript", 31, 0, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\TrusteeApplication.js", "JavaScript", 39, 0, 0, 0, 0, 39
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\OfflineSignContract\OfflineSignContract.js", "JavaScript", 216, 0, 0, 0, 7, 223
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\CheckTA.js", "JavaScript", 123, 0, 0, 3, 1, 127
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.js", "JavaScript", 84, 0, 0, 0, 0, 84
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.js", "JavaScript", 13, 0, 0, 3, -2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.md", "Markdown", 0, 7, 0, 0, 0, 7
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.js", "JavaScript", 6, 0, 0, 3, 1, 10
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.md", "Markdown", 0, 11, 0, 0, 0, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.js", "JavaScript", 6, 0, 0, 3, 1, 10
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.md", "Markdown", 0, 11, 0, 0, 0, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.js", "JavaScript", 10, 0, 0, 4, 1, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.md", "Markdown", 0, 29, 0, 0, 1, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.js", "JavaScript", 12, 0, 0, 3, -2, 13
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.md", "Markdown", 0, 12, 0, 0, 1, 13
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.js", "JavaScript", -114, 0, 0, 0, 20, -94
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.js", "JavaScript", 49, 0, 0, 3, 6, 58
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.js", "JavaScript", 9, 0, 0, 3, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadSample\UserUploadSample.js", "JavaScript", 242, 0, 0, 10, 12, 264
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadSample\UserUploadSample.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\CheckList\CheckList.js", "JavaScript", 254, 0, 0, -152, 13, 115
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.js", "JavaScript", -30, 0, 0, -130, -5, -165
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\SoftwareDocumentReviewForm\SoftwareDocumentReviewForm.js", "JavaScript", 439, 0, 0, 5, 28, 472
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCase\TestCase.js", "JavaScript", 89, 0, 0, 0, 2, 91
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCheckList\TestCheckList.js", "JavaScript", 37, 0, 0, 4, 11, 52
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestPlan\TestPlan.js", "JavaScript", 146, 0, 0, 0, 6, 152
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.js", "JavaScript", 104, 0, 0, 0, 6, 110
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.md", "Markdown", 0, 4, 0, 0, 0, 4
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.js", "JavaScript", 227, 0, 0, 0, 21, 248
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestScenarioReviewForm\TestScenarioReviewForm.js", "JavaScript", 280, 0, 0, 0, 38, 318
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.js", "JavaScript", -177, 0, 0, 0, 6, -171
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.js", "JavaScript", 34, 0, 0, 0, -2, 32
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.js", "JavaScript", 31, 0, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.js", "JavaScript", 164, 0, 0, 0, 5, 169
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.js", "JavaScript", 91, 0, 0, 0, 26, 117
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.js", "JavaScript", 2, 0, 0, 0, 2, 4
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProjList\ViewProjList.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProjList\ViewProjList.js", "JavaScript", 318, 0, 0, 0, 14, 332
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProject\ViewProject.css", "CSS", 0, 0, 31, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewProject\ViewProject.js", "JavaScript", 365, 0, 0, 0, 55, 420
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.js", "JavaScript", 9, 0, 0, 4, 1, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.md", "Markdown", 0, 29, 0, 0, 1, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.js", "JavaScript", 38, 0, 0, 0, 0, 38
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestCase\ViewTestCase.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestCase\ViewTestCase.js", "JavaScript", 130, 0, 0, 0, 23, 153
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestPlan\ViewTestPlan.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestPlan\ViewTestPlan.js", "JavaScript", 288, 0, 0, 1, 81, 370
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestRecord\ViewTestRecord.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestRecord\ViewTestRecord.js", "JavaScript", 156, 0, 0, 0, 28, 184
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestReport\ViewTestReport.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestReport\ViewTestReport.js", "JavaScript", 479, 0, 0, 0, 143, 622
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewchecklist\Viewchecklist.js", "JavaScript", 249, 0, 0, 0, 25, 274
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewquestionlist\Viewquestionlist.js", "JavaScript", 142, 0, 0, 1, 25, 168
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewsdreviewform\Viewsdreviewform.js", "JavaScript", 409, 0, 0, 0, 32, 441
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtestchecklist\Viewtestchecklist.js", "JavaScript", 412, 0, 0, 0, 34, 446
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtsreviewform\Viewtsreviewform.js", "JavaScript", 246, 0, 0, 0, 33, 279
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functionTest.js", "JavaScript", 133, 0, 0, 1, 7, 141
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functions.js", "JavaScript", 8, 0, 0, 4, 0, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.css", "CSS", 0, 0, 37, 1, 4, 42
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.js", "JavaScript", 104, 0, 0, 9, 11, 124
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.md", "Markdown", 0, 12, 0, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\Menu_1.js", "JavaScript", -49, 0, 0, 0, -1, -50
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.css", "CSS", 0, 0, 37, 1, 4, 42
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.js", "JavaScript", 94, 0, 0, 9, 8, 111
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.md", "Markdown", 0, 12, 0, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.js", "JavaScript", 91, 0, 0, 11, 10, 112
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.md", "Markdown", 0, 12, 0, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.js", "JavaScript", 47, 0, 0, 7, 5, 59
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\UserInfoPage\UserInfo.md", "Markdown", 0, 12, 0, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\View.js", "JavaScript", -47, 0, 0, 0, -5, -52
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\FormItem.js", "JavaScript", -26, 0, 0, -2, -3, -31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\components\UserEditor.js", "JavaScript", -116, 0, 0, -6, -7, -129
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\layouts\HomeLayout.js", "JavaScript", -17, 0, 0, -4, -3, -24
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Login.js", "JavaScript", -136, 0, 0, -29, -13, -178
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\Register.js", "JavaScript", -127, 0, 0, -2, -9, -138
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserAdd.js", "JavaScript", -13, 0, 0, -5, -2, -20
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserEdit.js", "JavaScript", -36, 0, 0, -16, -5, -57
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserInfo.js", "JavaScript", -40, 0, 0, -11, -4, -55
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\UserList.js", "JavaScript", -77, 0, 0, -37, -10, -124
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\pages\css\register.css", "CSS", 0, 0, -36, -1, -3, -40
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\formProvider.js", "JavaScript", -77, 0, 0, -39, -10, -126
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\utils\request.js", "JavaScript", -32, 0, 0, -10, -3, -45
"Total", "-", 5442, 184, 74, -351, 700, 6049